Year,Backstop
2010,562.2317
2015,549.158
2020,536.25
2025,522.844
2030,509.773
2035,497.028
2040,484.603
2045,472.488
2050,460.675
2055,449.158
2060,437.93
2065,426.981
2070,416.307
2075,405.899
2080,395.752
2085,385.858
2090,376.211
2095,366.806
2100,357.636
2105,348.695
2110,339.978
2115,331.478
2120,323.191
2125,315.111
2130,307.234
2135,299.553
2140,292.064
2145,284.762
2150,277.643
2155,270.702
2160,263.935
2165,257.336
2170,250.903
2175,244.63
2180,238.515
2185,232.552
2190,226.738
2195,221.07
2200,215.543
2205,210.154
2210,204.9
2215,199.778
2220,194.783
2225,189.914
2230,185.166
2235,180.537
2240,176.023
2245,171.623
2250,167.332
2255,163.149
2260,159.07
2265,155.093
2270,151.216
2275,147.436
2280,143.75
2285,140.156
2290,136.652
2295,133.088
2300,129.539
